Date_select,Sector_Type,Station,State,Agency,Unit_no,Capacity,Reason,Outage_date,Outage_time,Expected_revival_date,Inserted_at
26-05-2020,"Central Sector (CS)","SKS Power",Chhattisgarh,SKS,2,300,"Low schedule",07-07-2019,00:18,-,2020-05-27T16:02:09.415200
26-05-2020,"Central Sector (CS)","RKM Power",Chhattisgarh,RKMPPL,4,360,"Commercial operation declared from 00:00hrs of 20-03-2019; kept out on less fuel; intimated that from 10-05-2019, the reason is no schedule due to no PPA",20-03-2019,00:00,-,2020-05-27T16:02:09.526275
26-05-2020,"Central Sector (CS)","GMR CHHATISGARH",Chhattisgarh,"GMR Chattisgarh Energy Ltd",1,685,"Coal shortage",22-06-2019,06:11,-,2020-05-27T16:02:09.692330
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,3,200,"Low reservoir level",30-06-2017,23:45,-,2020-05-27T16:02:09.803654
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,4,200,"Low reservoir level",01-07-2017,00:15,-,2020-05-27T16:02:09.880437
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,5,200,"Low reservoir level; unit-5 is on AOH since 09:00hrs/01.12.2017",01-07-2017,00:30,-,2020-05-27T16:02:09.959192
26-05-2020,"Central Sector (CS)","Gandhar GT 2",Gujarat,NTPC,2,144.30,RSD,09-07-2019,01:56,-,2020-05-27T16:02:10.025361
26-05-2020,"Central Sector (CS)",CGPL,Gujarat,CGPL_UMPP,40,830,"for generator inspection & capital overhauling",15-06-2019,01:17,-,2020-05-27T16:02:10.091843
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"GT 1A",106,RSD,28-06-2019,15:31,-,2020-05-27T16:02:10.158658
26-05-2020,"Central Sector (CS)",Gandhar,Gujarat,NTPC,4,224.29,RSD,27-06-2019,10:17,-,2020-05-27T16:02:10.225833
26-05-2020,"Central Sector (CS)","Gandhar GT 1",Gujarat,NTPC,1,144.30,RSD,27-06-2019,08:16,-,2020-05-27T16:02:10.291497
26-05-2020,"Central Sector (CS)",CGPL,Gujarat,CGPL_UMPP,50,830,COH,15-06-2019,08:45,-,2020-05-27T16:02:10.359447
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"GT 2B",106,RSD,27-06-2019,09:31,-,2020-05-27T16:02:10.425352
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,1,200,"Low reservoir level",01-07-2017,00:00,-,2020-05-27T16:02:10.491695
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,6,200,"Low reservoir level",01-07-2017,00:45,-,2020-05-27T16:02:10.559942
26-05-2020,"Central Sector (CS)","Gandhar GT 3",Gujarat,NTPC,3,144.30,"C-inspection(Major Overhauling)",14-06-2019,00:00,-,2020-05-27T16:02:10.736737
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,2,200,"Low reservoir level",30-06-2017,23:45,-,2020-05-27T16:02:10.848435
26-05-2020,"Central Sector (CS)",DGEN,Gujarat,"Torrent Power",52,400,RSD,01-05-2019,00:05,-,2020-05-27T16:02:10.935213
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"ST 2C",116.10,RSD,28-06-2019,11:06,-,2020-05-27T16:02:11.003507
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"GT 2A",106,RSD,28-06-2019,11:25,-,2020-05-27T16:02:11.081242
26-05-2020,"Central Sector (CS)",DGEN,Gujarat,"Torrent Power",53,400,RSD,01-05-2019,00:40,-,2020-05-27T16:02:11.192428
26-05-2020,"Central Sector (CS)",Gadarwada,"Madhya Pradesh",NTPC,1,800,RSD,29-06-2019,11:39,-,2020-05-27T16:02:11.325772
26-05-2020,"Central Sector (CS)","JP Nigrie","Madhya Pradesh",JAYPEE,1,660,AOH.,01-07-2019,01:30,-,2020-05-27T16:02:11.457989
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,1B,320,"Kept on Dry Preservation/gas shortage",31-03-2014,23:00,-,2020-05-27T16:02:11.558668
26-05-2020,"Central Sector (CS)",MOUDA,Maharashtra,NTPC,4,660,RSD.,28-06-2019,19:45,-,2020-05-27T16:02:11.681759
26-05-2020,"Central Sector (CS)","Solapur STPS",Maharashtra,NTPC,2,660,RSD,13-06-2019,23:30,-,2020-05-27T16:02:11.835757
