Date_select,Sector_Type,Station,State,Agency,Unit_no,Capacity,Reason,Outage_date,Outage_time,Expected_revival_date,Inserted_at
26-05-2020,"Central Sector (CS)","SKS Power",Chhattisgarh,SKS,2,300,"Low schedule",07-07-2019,00:18,-,2020-05-27T15:33:50.521067
26-05-2020,"Central Sector (CS)","RKM Power",Chhattisgarh,RKMPPL,4,360,"Commercial operation declared from 00:00hrs of 20-03-2019; kept out on less fuel; intimated that from 10-05-2019, the reason is no schedule due to no PPA",20-03-2019,00:00,-,2020-05-27T15:33:50.626127
26-05-2020,"Central Sector (CS)","GMR CHHATISGARH",Chhattisgarh,"GMR Chattisgarh Energy Ltd",1,685,"Coal shortage",22-06-2019,06:11,-,2020-05-27T15:33:50.733795
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,3,200,"Low reservoir level",30-06-2017,23:45,-,2020-05-27T15:33:50.895603
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,4,200,"Low reservoir level",01-07-2017,00:15,-,2020-05-27T15:33:51.031439
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,5,200,"Low reservoir level; unit-5 is on AOH since 09:00hrs/01.12.2017",01-07-2017,00:30,-,2020-05-27T15:33:51.145134
26-05-2020,"Central Sector (CS)","Gandhar GT 2",Gujarat,NTPC,2,144.30,RSD,09-07-2019,01:56,-,2020-05-27T15:33:51.210585
26-05-2020,"Central Sector (CS)",CGPL,Gujarat,CGPL_UMPP,40,830,"for generator inspection & capital overhauling",15-06-2019,01:17,-,2020-05-27T15:33:51.298838
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"GT 1A",106,RSD,28-06-2019,15:31,-,2020-05-27T15:33:51.399451
26-05-2020,"Central Sector (CS)",Gandhar,Gujarat,NTPC,4,224.29,RSD,27-06-2019,10:17,-,2020-05-27T15:33:51.477246
26-05-2020,"Central Sector (CS)","Gandhar GT 1",Gujarat,NTPC,1,144.30,RSD,27-06-2019,08:16,-,2020-05-27T15:33:51.544070
26-05-2020,"Central Sector (CS)",CGPL,Gujarat,CGPL_UMPP,50,830,COH,15-06-2019,08:45,-,2020-05-27T15:33:51.610888
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"GT 2B",106,RSD,27-06-2019,09:31,-,2020-05-27T15:33:51.733564
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,1,200,"Low reservoir level",01-07-2017,00:00,-,2020-05-27T15:33:51.799591
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,6,200,"Low reservoir level",01-07-2017,00:45,-,2020-05-27T15:33:51.866204
26-05-2020,"Central Sector (CS)","Gandhar GT 3",Gujarat,NTPC,3,144.30,"C-inspection(Major Overhauling)",14-06-2019,00:00,-,2020-05-27T15:33:51.933522
26-05-2020,"Central Sector (CS)","SSP RBPH(Hy)",Gujarat,SSP,2,200,"Low reservoir level",30-06-2017,23:45,-,2020-05-27T15:33:52.011436
26-05-2020,"Central Sector (CS)",DGEN,Gujarat,"Torrent Power",52,400,RSD,01-05-2019,00:05,-,2020-05-27T15:33:52.122840
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"ST 2C",116.10,RSD,28-06-2019,11:06,-,2020-05-27T15:33:52.211597
26-05-2020,"Central Sector (CS)",Kawas,Gujarat,NTPC,"GT 2A",106,RSD,28-06-2019,11:25,-,2020-05-27T15:33:52.300356
26-05-2020,"Central Sector (CS)",DGEN,Gujarat,"Torrent Power",53,400,RSD,01-05-2019,00:40,-,2020-05-27T15:33:52.389122
26-05-2020,"Central Sector (CS)",Gadarwada,"Madhya Pradesh",NTPC,1,800,RSD,29-06-2019,11:39,-,2020-05-27T15:33:52.577828
26-05-2020,"Central Sector (CS)","JP Nigrie","Madhya Pradesh",JAYPEE,1,660,AOH.,01-07-2019,01:30,-,2020-05-27T15:33:52.677149
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,1B,320,"Kept on Dry Preservation/gas shortage",31-03-2014,23:00,-,2020-05-27T15:33:52.766636
26-05-2020,"Central Sector (CS)",MOUDA,Maharashtra,NTPC,4,660,RSD.,28-06-2019,19:45,-,2020-05-27T15:33:52.866627
26-05-2020,"Central Sector (CS)","Solapur STPS",Maharashtra,NTPC,2,660,RSD,13-06-2019,23:30,-,2020-05-27T15:33:52.933383
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,2A,332,"Less gas availability",02-07-2019,21:00,-,2020-05-27T15:33:53.000132
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,2B,332,"Less gas availability",02-07-2019,21:00,-,2020-05-27T15:33:53.065953
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,1A,320,"Kept on Dry Preservation/gas shortage",08-07-2014,13:30,-,2020-05-27T15:33:53.155709
26-05-2020,"Central Sector (CS)","Solapur STPS",Maharashtra,NTPC,1,660,RSD,16-06-2019,01:21,-,2020-05-27T15:33:53.221489
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,5,210,RSD,06-07-2019,11:41,-,2020-05-27T15:33:53.322278
26-05-2020,"State Sector (SS)","GIPCL STG",Gujarat,GSECL,2,165,"No purchase from 1st March 18",01-03-2018,00:00,-,2020-05-27T15:33:53.433131
26-05-2020,"State Sector (SS)","GPEC GT",Gujarat,"Torrent Power",3,138,"No schedule(PPA expired)",10-12-2018,11:36,-,2020-05-27T15:33:53.521257
26-05-2020,"State Sector (SS)","GPEC GT",Gujarat,"Torrent Power",1,138,"No schedule(PPA expired)",10-12-2018,12:34,-,2020-05-27T15:33:53.610025
26-05-2020,"State Sector (SS)","GPEC GT",Gujarat,"Torrent Power",2,138,"No schedule(PPA expired)",10-12-2018,18:55,-,2020-05-27T15:33:53.700295
26-05-2020,"State Sector (SS)",GPPC,Gujarat,GSPC,2,351,RSD,17-10-2018,20:47,-,2020-05-27T15:33:53.788003
26-05-2020,"State Sector (SS)",GSEG,Gujarat,GSPC,1,78,RSD,11-10-2018,22:26,-,2020-05-27T15:33:53.856421
26-05-2020,"State Sector (SS)",DGBP,Gujarat,GSECL,3,375,RSD,04-07-2019,21:33,-,2020-05-27T15:33:53.944645
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,3,210,RSD,04-07-2019,02:45,-,2020-05-27T15:33:54.010783
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,6,210,RSD,05-07-2019,08:24,-,2020-05-27T15:33:54.077115
26-05-2020,"State Sector (SS)",Ukai,Gujarat,GSECL,6,500,RSD,05-07-2019,09:33,-,2020-05-27T15:33:54.177853
26-05-2020,"State Sector (SS)","UTRAN STG II",Gujarat,GSECL,1,375,RSD.,09-07-2019,00:16,-,2020-05-27T15:33:54.244088
